id	name	description	additionalTypeId	additionalTypeName	startDate	endDate	addressLocality	addressRegion	postalCode	streetAddress	latitude	longitude	citation	http://cinemacontext.nl/id/sameAs
cc635159bbb21ad	(New) Royal		https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1962-12-07	1975-12-31	Paramaribo			Wicherstraat 46	5.8342423115822	-55.1463383078867	Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001719
cc635179335f1cf	Liberty	"Vrije Stem schrijft op 18-2-1978: 'De naam ""Liberty"" is door de heer Tewari bewust gekozen om de vrijheid te symboliseren van het Surinaamse volk. Hij zegt middels educatieve en culturele films zijn bijdrage te zullen leveren aan de vorming van de Surinaamse burgers.'"	https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema;military cinema	1978-02-17		Paramaribo			Koningstraat 58-60	5.81658504342113	-55.1748971798353	Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001767
cc63517cb822645	De Paarl		https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1958-05-24		Paramaribo			Wanicastraat [ingang Zorg en Hoop - Hermitage]	5.81483167775224	-55.1774224460943	Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001720
cc6358f516a4ce6	TBL Cinemas		https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	2010-11-01		Paramaribo			Lalla Rookhweg 79	5.81779487951746	-55.205516012586	Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001733
cc6358f71a156d9	Victoria	Kino Scheurlen heropent als Theater Victoria na overname door eigenaar Bellevue	https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1924-12-23		Paramaribo			Keizerstraat	5.82671845373207	-55.1566030900556	Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001706
cc6358ff1f6b1cb	De Kroon		https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1928-01-01	1929-12-31	Paramaribo			Koningstraat			Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001776
cc635911c79a399	Leliebioscoop	De Leliebioscoop werd geëxploiteerd in het Thalia theater	https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1920-07-24	1923-12-31	Paramaribo			Wagenwegstraat	5.83081098696097	-55.1598579902848	Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001748
cc63593a2d1c113	Chung Fa		https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1961-02-18		Groningen (Saramacca)			onbekend			Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001732
cc6359445107f36	Leter	Kino Leter of Theater Leter; bij aanvraag vergunning wordt gesproken van 'Spoorbaan' als adres. Precieze opening niet bekend, aanvraag vergunning in 1950 in de krant.	https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1950-01-01		Lelydorp			Pad van Wanica			Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001762
cc635949901297e	Ansoe		https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1959-11-28		Meerzorg			onbekend	5.79773120492152	-55.1297402988766	Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001750
cc635951c8cc072	Beatrix Theater		https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1955-03-26		Moengo			Cotticastraat	5.61635981130255	-54.4019805137515	Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001779
cc6388d06aa0fdd	Paranam Theater		https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1946-01-25		Paranam			onbekend			Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001739
