"id"	"name"	"latitude"	"longitude"	"Type"	"citation"	"sameAs"
59	"Köse"	36.9687206495092	35.3418740746566	"Açık Hava - Dam Sineması"		"http://www.cinemap.org/archives/059"
60	"Köşk I"	37.0027780899234	35.3211325523515	"Açık Hava"		"http://www.cinemap.org/archives/060"
61	"Köşk II"	37.0042366118342	35.3242975589894	"Açık Hava"		"http://www.cinemap.org/archives/061"
62	"Lale"	36.9786322126801	35.3278077592522	"Salon"		"http://www.cinemap.org/archives/062"
63	"Lâle / Elhamra / Alsaray"	36.9856523029485	35.3265452501443	"Salon"		"http://www.cinemap.org/archives/063"
64	"Levent / Filiz"	37.0065985991707	35.3095159051036	"Açık Hava - Dam Sineması"		"http://www.cinemap.org/archives/064"
65	"Lüks I"	36.9827581800214	35.3241956350468	"Salon"		"http://www.cinemap.org/archives/065"
66	"Lüks II"	36.9827732427288	35.3242009994648	"Açık Hava - Dam Sineması"		"http://www.cinemap.org/archives/066"
67	"Marmara "	36.9832401807166	35.3203734872014	"Açık Hava"		"http://www.cinemap.org/archives/067"
68	"Mavi Köşk"	37.0103371647903	35.3197887656308	"Açık Hava"		"http://www.cinemap.org/archives/068"
69	"Mehtap"	36.9822826433444	35.3456828114584	"Açık Hava"		"http://www.cinemap.org/archives/069"
70	"Melek"	36.9772041753509	35.34812898608	"Açık Hava"		"http://www.cinemap.org/archives/070"
71	"Melek I"	36.9824268164186	35.3248044964854	"Açık Hava"		"http://www.cinemap.org/archives/071"
72	"Metro"	37.0010140620747	35.3230744716763	"Salon"		"http://www.cinemap.org/archives/072"
73	"Metropol"	37.0470054419777	35.30345370304	"Sinema Kompleksi"		"http://www.cinemap.org/archives/073"
74	"Millet Bahçesi"	37.0035417050761	35.3403022735179	"Arabalı Sinema - Yüreğir Belediyesi"		"http://www.cinemap.org/archives/074"
75	"Mimar Sinan Sineması"	37.0095214316356	35.3320856447086	"Açık Hava"		"http://www.cinemap.org/archives/075"
76	"Mine"	36.9988326330321	35.3434726712303	"Açık Hava"		"http://www.cinemap.org/archives/076"
77	"Narlıca"	36.9958514147267	35.2990754922511	"Açık Hava"		"http://www.cinemap.org/archives/077"
78	"Nergis / Selma / Barboros"	36.9991155883816	35.3006550978698	"Açık Hava"		"http://www.cinemap.org/archives/078"
79	"Nur"	36.9826663351822	35.3209976305639	"Açık Hava - Salon"		"http://www.cinemap.org/archives/079"
80	"Nural"	36.9834818110221	35.3314848048927	"Açık Hava"		"http://www.cinemap.org/archives/080"
81	"Olgun"	36.9894322254688	35.3388834902737	"Açık Hava"		"http://www.cinemap.org/archives/081"
82	"Özgür Sinematek"	37.0476789319148	35.3685179569029	"Salon"		"http://www.cinemap.org/archives/082"
83	"Özsaray"	36.9958443349796	35.3213149425645	"Açık Hava"		"http://www.cinemap.org/archives/083"
84	"Park"	36.9974987708447	35.324817907538	"Açık Hava"		"http://www.cinemap.org/archives/084"
85	"Polat "	36.9774147973055	35.3296838736793	"Açık Hava"		"http://www.cinemap.org/archives/085"
86	"Renk"	36.9957195526898	35.323651146616	"Açık Hava"		"http://www.cinemap.org/archives/086"
87	"Rum / Türk Ocağı / Asri"	36.9901047715897	35.3233930924919	"Salon"		"http://www.cinemap.org/archives/087"
88	"Seher"	36.9801824369182	35.3486117837027	"Açık Hava"		"http://www.cinemap.org/archives/088"
89	"Sema"	36.9788953183426	35.3235189070387	"Açık Hava - Dam sineması"		"http://www.cinemap.org/archives/089"
90	"Ses"	36.9970129523752	35.2888263029012	"Açık Hava"		"http://www.cinemap.org/archives/090"
91	"Set"	36.9902912773522	35.3215187904509	"Açık Hava"		"http://www.cinemap.org/archives/091"
92	"Seyhan / İpek I"	36.9869949839851	35.3392079588956	"Açık Hava - Salon"		"http://www.cinemap.org/archives/092"
93	"Seyhan I"	36.9896264795638	35.3319404920646	"Açık Hava"		"http://www.cinemap.org/archives/093"
94	"Sinema Evi"	36.9820093480337	35.3253516671323	"Açık Hava"		"http://www.cinemap.org/archives/094"
95	"Site "	37.0017928165988	35.3181874868528	"Açık Hava"		"http://www.cinemap.org/archives/095"
96	"Stüdyo Kompleksi Sineması"	37.0484185124764	35.3689471103453	"Salon"		"http://www.cinemap.org/archives/096"
97	"Sular I"	37.003664394217	35.3229564544816	"Açık Hava"		"http://www.cinemap.org/archives/097"
98	"Sular II"	37.0139529531283	35.3261348721549	"Salon"		"http://www.cinemap.org/archives/098"
99	"Sular III"	36.9901348948769	35.3237176397823	"Açık Hava"		"http://www.cinemap.org/archives/099"
100	"Sun"	36.9943813443062	35.3224307415144	"Salon"		"http://www.cinemap.org/archives/100"
101	"Sümer "	37.0125763448451	35.3145611402604	"Açık Hava - Dam Sineması"		"http://www.cinemap.org/archives/101"
102	"Şafak"	36.9838642001136	35.3094649431372	"Açık Hava"		"http://www.cinemap.org/archives/102"
103	"Şahinler "	36.9921396682457	35.348745196085	"Açık Hava"		"http://www.cinemap.org/archives/103"
104	"Şan "	36.9857917806789	35.320895706623	"Açık Hava - Dam Sineması"		"http://www.cinemap.org/archives/104"
105	"Şehir "	36.9852779007287	35.3163877246054	"Açık Hava"		"http://www.cinemap.org/archives/105"
106	"Şoray"	36.9793647181985	35.3448566910817	"Açık Hava"		"http://www.cinemap.org/archives/106"
107	"Şölen"	36.9888319045921	35.3196595251301	"Salon"		"http://www.cinemap.org/archives/107"
108	"Tahsilli"	37.0131012464474	35.3424633835749	"Açık Hava"		"http://www.cinemap.org/archives/108"
109	"Tan / Ünal"	36.9864721051575	35.3281089780004	"Salon"		"http://www.cinemap.org/archives/109"
110	"Teras"	36.9917156164209	35.3149956581277	"Açık Hava - Dam Sineması"		"http://www.cinemap.org/archives/110"
111	"Türen"	37.0103199563363	35.3189063188649	"Açık Hava"		"http://www.cinemap.org/archives/111"
112	"Ünal II"	36.9855662327827	35.3247267124327	"Salon"		"http://www.cinemap.org/archives/112"
113	"Venüs"	37.0030319329547	35.3232622263099	"Açık Hava"		"http://www.cinemap.org/archives/113"
114	"Yavuzlar "	37.0014147993307	35.3426487301633	"Açık Hava"		"http://www.cinemap.org/archives/114"
115	"Yeni"	36.984659966864	35.3216950049091	"Açık Hava"		"http://www.cinemap.org/archives/115"
116	"Yeşilevler"	37.0075497770555	35.2878338855654	"Açık Hava"		"http://www.cinemap.org/archives/116"
117	"Yıldız II"	36.9962337439255	35.3211540100232	"Açık Hava"		"http://www.cinemap.org/archives/117"
118	"Yılmazlar Aile"	37.0086679453354	35.3644114949018	"Açık Hava - Salon"		"http://www.cinemap.org/archives/118"
119	"Zafer"	36.992145926904	35.3125628945508	"Açık Hava"		"http://www.cinemap.org/archives/119"
