"id"	"name"	"startDate"	"endDate"	"addressLocality"	"VenueType"	"sameAs"	"citation"	"ProjectWebsite"	"longitude"	"latitude"
33	"Gaiety Theatre"	1916	1911	"427 State Street"	"Venue, Nickelodeon, Picture house"	"https://archive.org/details/motionpicturenew82unse/page/n85/mode/2up?view=theater"		"https://www.mappingmovies.com/"	-72.5782500901	42.1071753258
34	"Globe Theatre"	1925	1911	"124 Main Street"	"Venue, Theatre, Mixed programming vaudeville and film (was referred to initially as a ""pictorial-vaudeville house"")"	"https://archive.org/details/filmindex191111film/page/n163/mode/2up?view=theater"		"https://www.mappingmovies.com/"	-72.5989840995	42.1070610422
35	"Palace Theatre"	1916	1911	"41 Oak Street"	"Venue, Nickelodeon, Picture house"	"https://cinematreasures.org/theaters/40333"		"https://www.mappingmovies.com/"	-72.5030451563	42.1590686004
36	"Plaza Theatre"	1923	1910	"12 Taylor Street"	"Venue, Theatre, Mixed programming vaudeville and film (was referred to initially as a ""pictorial-vaudeville house""), Mixed programming burlesque and film"	"https://archive.org/details/motionpicturenew82unse/page/n85/mode/2up?view=theater"	"https://www.tandfonline.com/doi/abs/10.1080/10714429809368568"	"https://www.mappingmovies.com/"	-72.5935030494	42.1044600916
37	"State Theatre"	1932	1923	"12 Taylor Street"	"Venue, Theatre, Mixed programming vaudeville and film (was referred to initially as a ""pictorial-vaudeville house""), Mixed programming burlesque and film, Cinema"		"https://www.tandfonline.com/doi/abs/10.1080/10714429809368568"	"https://www.mappingmovies.com/"	-72.5935030494	42.1044600916
38	"Broadway Theatre"	1952	1913	"101 Bridge Street"	"Venue, Theatre, Mixed programming theatre, vaudeville, and film, Cinema"	"https://cinematreasures.org/theaters/3720"	"https://scholar.google.com/citations?view_op=view_citation&hl=en&user=utSpkqcAAAAJ&citation_for_view=utSpkqcAAAAJ:qjMakFHDy7sC"	"https://www.mappingmovies.com/"	-72.5932268407	42.1020394735
39	"Hudson Theatre"	1917	1913	"682 Main Street"	"Venue, Nickelodeon, Picture house, Cinema"			"https://www.mappingmovies.com/"	-72.5824323898	42.0969658659
40	"Rialto Theatre"	1918	1917	"682 Main Street"	"Venue, Nickelodeon, Picture house, Cinema"			"https://www.mappingmovies.com/"	-72.5824323898	42.0969658659
41	"Liberty Theatre"	1919	1918	"682 Main Street"	"Venue, Nickelodeon, Picture house, Cinema"		"https://scholar.google.com/citations?view_op=view_citation&hl=en&user=utSpkqcAAAAJ&citation_for_view=utSpkqcAAAAJ:qjMakFHDy7sC"	"https://www.mappingmovies.com/"	-72.5824323898	42.0969658659
42	"Allah Theatre"	1922	1919	"682 Main Street"	"Venue, Nickelodeon, Picture house, Cinema"			"https://www.mappingmovies.com/"	-72.5824323898	42.0969658659
43	"Lyric Theatre"	1916	1913	"247 North Main Street"	"Venue, Nickelodeon, Picture house"	"https://archive.org/details/motionpicturenew82unse/page/n85/mode/2up?view=theater"		"https://www.mappingmovies.com/"	-72.6065745005	42.1165821721
44	"Mirror Theatre"	1922	1913	"21 Wilbraham Road"	"Venue, Cinema, Neighborhood cinema"	"https://archive.org/details/motionpicturenew82unse/page/n85/mode/2up?view=theater"		"https://www.mappingmovies.com/"	-72.5643753445	42.1108417409
