id	name	description	additionalTypeId	additionalTypeName	startDate	endDate	addressLocality	addressRegion	postalCode	streetAddress	latitude	longitude	citation	sameAs
234	Picturedrome		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1917	1921	Tipperary	Tipperary		Jame's Street				https://primitivecinema.github.io/irishcinemaproject/item.html?id=c268
235	Electric Theatre	Tivoli	https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1912		Tipperary	Tipperary		Henry (now O'Brien) Street	52.472898	-8.16484		https://primitivecinema.github.io/irishcinemaproject/item.html?id=c272
237	Picture House, Dingle		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1920		Dingle	Kerry						https://primitivecinema.github.io/irishcinemaproject/item.html?id=c292
238					1899		Killarney	Kerry						https://primitivecinema.github.io/irishcinemaproject/item.html?id=c300
239	Diamond Picture Palace	Town Hall	https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1913		Monaghan	Monaghan			54.2487584990258	-6.96902066991133		https://primitivecinema.github.io/irishcinemaproject/item.html?id=c290
240	Bessbrook Cinema		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1913		Bessbrook	Armagh						https://primitivecinema.github.io/irishcinemaproject/item.html?id=c256
241	Picture House, Castleblaney		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1913		Castleblaney	Monaghan						https://primitivecinema.github.io/irishcinemaproject/item.html?id=c273
242	Clones Electric Theatre	St. Joseph's Temperance Hall	https://homernetwork.github.io/vocabulary/venues/Multipurpose_venue	Multipurpose venue	1916		Clones	Monaghan			54.182670668061	-7.23439724196441		https://primitivecinema.github.io/irishcinemaproject/item.html?id=c311
243	Picture Palace, Newbridge	Sheridan's Hall	https://homernetwork.github.io/vocabulary/venues/Multipurpose_venue	Multipurpose venue	1912		Newbridge	Kildare						https://primitivecinema.github.io/irishcinemaproject/item.html?id=c312
244	National Theatre		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1913		Thurles	Tipperary		Friar Street	52.678381	-7.819127		https://primitivecinema.github.io/irishcinemaproject/item.html?id=c330
245	Cinema Hall, Clogheen		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1918		Clogheen	Tipperary						https://primitivecinema.github.io/irishcinemaproject/item.html?id=c265
246	Pavilion		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1921		Cork	Cork		80-82 Patrick Street	51.8983986513579	-8.47379406722411		https://primitivecinema.github.io/irishcinemaproject/item.html?id=c298
247	Electric Palace		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1899		Kildare	Kildare						https://primitivecinema.github.io/irishcinemaproject/item.html?id=c307
248	Oisin Theatre		https://homernetwork.github.io/vocabulary/venues/Theatre	Theatre	1921		Clonmel	Tipperary		22 O'Connell Street	52.3524836706798	-7.70396234094009		https://primitivecinema.github.io/irishcinemaproject/item.html?id=c291
249	Southern Star Cinema		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1920		Midleton	Cork		Cork Bridge	51.9165304638298	-8.17580977705801		https://primitivecinema.github.io/irishcinemaproject/item.html?id=c248
250	Strand Palace		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1920		Youghal	Cork		Upper Strand	51.9405951135527	-7.84478553863092		https://primitivecinema.github.io/irishcinemaproject/item.html?id=c245
251	Cinema		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1921		Lismore	Waterford		South Mall	52.1381298630135	-7.92965523653732		
252	Oriel Cinema		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1919		Dundalk	Louth		Market Street	54.005186	-6.401164		
253	Greystones Picture Palace		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1917		Greystones	Wicklow		Sidmonton	53.149023984913	-6.06420515032199		
254	Cinema		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1899		Monaghan	Monaghan						
255	Moynan's  Picture Palace		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1918		Templemore	Tipperary		Main Street	52.797345	-7.832509		
256	Pictures, Town Hall		https://homernetwork.github.io/vocabulary/venues/Multipurpose_venue	Multipurpose venue	1899		Ennis	Clare			52.8425143631525	-8.98316110528182		
257	Strand Cinema		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1935		Derry	Derry		Strand Road				
258	Midland Picture House	Midland Cinema	https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1923		Derry	Derry		Bond's Hill, Waterside	54.993083	-7.311815		
259	Savoy		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1933		Newry	Down		25 Merchants Quay	54.176758	-6.339798		
260	Strand Cinema		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1899		Tramore	Waterford						
261	West End Cinema	Ashfield Hall	https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1899	1927	Derry	Derry		Tyrconnell Street				
262	City Cinema		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1932		Derry	Derry		14-16 William Street	54.9976559562789	-7.32231790001425		
263	Commodore Cinema		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1934		Strabane	Tyrone		69a Main Street				
264	Picture Palace, Portrush		https://homernetwork.github.io/vocabulary/venues/Multipurpose_venue	Multipurpose venue	1912		Portrush	Derry		Kerr Street	55.2047154249728	-6.65310004406515		
265	Kilmallock Picture House		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1899		Kilmallock	Limerick						
266	Ormond Picture Palace		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1923		Nenagh	Tipperary		Summerhill	52.8653953759318	-8.19655410665605		
267	Ormond Cinema Company	Town Hall	https://homernetwork.github.io/vocabulary/venues/Multipurpose_venue	Multipurpose venue	1915		Nenagh	Tipperary		Banba Square	52.8649592270184	-8.19948082721943		
268	Rock Hall Cinema		https://homernetwork.github.io/vocabulary/venues/Multipurpose_venue	Multipurpose venue	1922		Ballyshannon	Donegal			54.4995537540129	-8.19292398140764		
269	Theatre Royal, Wexford		https://homernetwork.github.io/vocabulary/venues/Multipurpose_venue	Multipurpose venue	1899		Wexford	Wexford		High Street	52.3379861325399	-6.46223176408019		
270	Grand Central Cinema		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1924		Tullamore	Offaly		Market Square	53.2753067288832	-7.49058759551017		
272	Pavilion Cinema		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1920		Sligo	Sligo		Thomas Street	54.271172	-8.471791		
273	Star Kinema		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1923		Omagh	Tyrone		Sedan Avenue	54.602351	-7.303762		
274	Main Street Picture House and Café		https://homernetwork.github.io/vocabulary/venues/Multipurpose_venue	Multipurpose venue	1914		Portrush	Derry		Main Street	55.204717	-6.652104		
