"id"	"name"	"description"	"additionalTypeId"	"additionalTypeName"	"startDate"	"endDate"	"addressLocality"	"addressRegion"	"postalCode"	"streetAddress"	"latitude"	"longitude"	"citation"	"sameAs"
"http://www.cinemacontext.nl/id/B000918"	"Imperial Vio"	"Salon Doele is op dit adres gevestigd. Imperial Vio is een reisbioscoop die vaste voet aan de grond wil krijgen."			1908-01-05	1911-12-31	"Rotterdam"			"Haagseveer 23"	51.9236	4.48093		"http://www.cinemacontext.nl/id/B000918"
"http://www.cinemacontext.nl/id/B000534"	"De Kroon"				1908-04-01	1927-12-31	"Haarlem"			"Grote Markt 13-15"	52.3816	4.636		"http://www.cinemacontext.nl/id/B000534"
"http://www.cinemacontext.nl/id/B000231"	"Arnhems Theater"				1908-06-06	1955-12-31	"Arnhem"			"Ketelstraat 13"	51.982	5.90895		"http://www.cinemacontext.nl/id/B000231"
"http://www.cinemacontext.nl/id/B000646"	"Bioscope-Theater"	"De eerste bioscoop van Groningen."			1908-08-07	1912-02-29	"Groningen"			"Guldenstraat 4"	53.2179	6.56569		"http://www.cinemacontext.nl/id/B000646"
"http://www.cinemacontext.nl/id/B001067"	"Vreeburg Bioscoop"				1908-10-03	1974-05-26	"Utrecht"			"Vredenburg 9-10"	52.0924	5.11488		"http://www.cinemacontext.nl/id/B001067"
"http://www.cinemacontext.nl/id/B001067"	"Vreeburg Bioscoop"				1908-10-03	1974-05-26	"Utrecht"			"Vreeburg 8"	52.0924	5.11488		"http://www.cinemacontext.nl/id/B001067"
"http://www.cinemacontext.nl/id/B001364"	"Imperial (Steenstraat)"	"Buitensociëteit Amicitia. Dagelijks voorstellingen  van een uur. Op woensdag en zaterdag ook een kindervoorstelling."			1908-10-15	1909-04-15	"Leiden"			"Steenstraat 2"	52.1639	4.48445		"http://www.cinemacontext.nl/id/B001364"
"http://www.cinemacontext.nl/id/B001488"	"Bioscoop onbekend (Oude Markt)"				1908-10-27	1909-12-31	"Enschede"			"Oude Markt 11"	52.2208	6.89522		"http://www.cinemacontext.nl/id/B001488"
"http://www.cinemacontext.nl/id/B000937"	"Parisien"				1908-11-15	1922-12-31	"Rotterdam"			"Korte Hoogstraat 28 A"	51.9192	4.48234		"http://www.cinemacontext.nl/id/B000937"
"http://www.cinemacontext.nl/id/B000955"	"Transvalia"	"Vanaf 1910 ""Royal Bioscope Transvalia"" geheten."			1908-11-21	1935-04-30	"Rotterdam"			"Bergweg 108"	51.9378	4.47951		"http://www.cinemacontext.nl/id/B000955"
"http://www.cinemacontext.nl/id/B000811"	"Kinematophoon, Nijmeegsch Bioscooptheater"				1908-11-28	1909-05-31	"Nijmegen"			"Grootestraat 26"	51.848	5.86515		"http://www.cinemacontext.nl/id/B000811"
"http://www.cinemacontext.nl/id/B000648"	"Apollo"	"Ook Huis De Beurs en De Beurs genoemd. Huis De Beurs was een ""concert- en schouwburgzaal"" waar al in 1908 films werden vertoond. Op 27 augustus 1908 vloog tijdens een voorstelling van Alex Benner de film in brand."			1909-01-01	1917-05-03	"Groningen"			"A-Kerkhof 4"	53.2166	6.56366		"http://www.cinemacontext.nl/id/B000648"
"http://www.cinemacontext.nl/id/B001096"	"Kinematograph"				1909-01-01	1912-07-31	"Venlo"			"Vleeschtraat 36 (tot 1945)"	51.3687	6.16833		"http://www.cinemacontext.nl/id/B001096"
"http://www.cinemacontext.nl/id/B001096"	"Kinematograph"				1909-01-01	1912-07-31	"Venlo"			"Vleesstraat 46"	51.3687	6.16833		"http://www.cinemacontext.nl/id/B001096"
"http://www.cinemacontext.nl/id/B001533"	"Passage Bioscoop I"	"Na de sluiting op 17 mei 1928 werd de exploitatie tijdelijk voorgezet in Trianon tot oktober 1929. Al sinds 1905 filmvoorstellingen onder verschillende namen: 1905 Kon. Ned. Bioscope 1906 's-Gravenhaagsche Bioscope Company 1906 Salon Cinémato Francais 1906-1908 Vitascope"			1909-01-01	1928-05-17	"Den Haag"			"Passage 44"	52.0781	4.311		"http://www.cinemacontext.nl/id/B001533"
"http://www.cinemacontext.nl/id/B000904"	"Excelsior"				1909-01-01	1911-12-31	"Rotterdam Kralingen"			"Jardin Rozenburg"	51.9282	4.51333		"http://www.cinemacontext.nl/id/B000904"
"http://www.cinemacontext.nl/id/B000139"	"Flora (Wagenstraat)"	"Tot 1913 variété met film onder de naam The Royal Bioscope. Van 1914-1918 Bouwmeester Theater geheten, voornamelijk variété, soms ook een film. Tussen 1951-1953 werd Flora tijdelijk Plaza genoemd."			1909-01-29	1913-12-31	"Den Haag"			"Wagenstraat 79-81"	52.0754	4.31326		"http://www.cinemacontext.nl/id/B000139"
"http://www.cinemacontext.nl/id/B001244"	"Cinéma Theâtre"				1909-04-10	1909-12-31	"Utrecht"			"Oudegracht 144"	52.0918	5.11777		"http://www.cinemacontext.nl/id/B001244"
"http://www.cinemacontext.nl/id/B001244"	"Cinéma Theâtre"				1909-04-10	1909-12-31	"Utrecht"			"Oudegracht Weerdzijde 21"	52.0918	5.11777		"http://www.cinemacontext.nl/id/B001244"
"http://www.cinemacontext.nl/id/B000881"	"Apollo (Bagijnenstraat)"				1909-04-27	1915-12-31	"Rotterdam"			"Bagijnenstraat 6"	51.9226	4.48425		"http://www.cinemacontext.nl/id/B000881"
"http://www.cinemacontext.nl/id/B000691"	"Imperial Elite Bioscoop"	"""Elite Bioscoop"" geheten tussen 1915-1916"			1909-05-01	1918-07-15	"Leiden"			"Rijnsburgersingel 8 (tot 1912)"	52.1647	4.48428		"http://www.cinemacontext.nl/id/B000691"
"http://www.cinemacontext.nl/id/B000691"	"Imperial Elite Bioscoop"	"""Elite Bioscoop"" geheten tussen 1915-1916"			1909-05-01	1918-07-15	"Leiden"			"Stationsweg 19"	52.1647	4.48428		"http://www.cinemacontext.nl/id/B000691"
"http://www.cinemacontext.nl/id/B000167"	"Seinpost Theater"				1909-09-01	1971-12-31	"Den Haag"			"Seinpostduin 32 (Scheveningen)"	52.109	4.2763		"http://www.cinemacontext.nl/id/B000167"
"http://www.cinemacontext.nl/id/B000167"	"Seinpost Theater"				1909-09-01	1971-12-31	"Den Haag"			"Zeekant 61 (tot 1945)"	52.109	4.2763		"http://www.cinemacontext.nl/id/B000167"
