"id"	"name"	"streetAddress"	"address.city.country"	"address.city.color"	"addressLocality"	"addressRegion"	"address.city.name"	"address.city.language"	"address.city.id"	"address.street"	"address.id"	"address.position"	"latitude"	"longitude"	"address.geoData"	"openingDate"	"closingDate"	"geoData"	"status"	"seatingRange"	"venueRank"	"venueLocation"	"venueType.0"	"activeCinemaWeight"	"activeCinemaWeightBand"	"revenuePotential"	"turnover"	"priceProxy"	"activeDays"	"top20PerYear"	"topProductionCounty"	"topProductionYear"	"hasVenueImages"
"c2ed01e8-20cd-11e9-8054-dc241e2d861b"	"Redbergsgården"	"Danska Vägen 110 "	"Sweden"	"#b28ed8"	"Göteborg"	"Göteborg"	"gothenburg"	"swedish"	4	"Danska Vägen 110 "	"6dd8853e-20c7-11e9-8054-dc241e2d861b"		57.714932	12.004759	"57.714932, 12.004759"	1943	1971	"57.714932, 12.004759"	"Commercial"	"Under 300"	"Minor"	"Suburb"	"Cinema"	0.096170234	"Up To 0.10"	243	2	1	95	4	"USA"	1951	1
"c2ee9044-20cd-11e9-8054-dc241e2d861b"	"Magna"	"Long Street 27"	"United Kingdom"	"#f69899"	"Leicester"	"Wigston"	"leicester"	"english"	5	"Long Street 27"	"6dd8d7fa-20c7-11e9-8054-dc241e2d861b"		52.58312	-1.10902	"52.58312, -1.10902"	1934	1986	"52.58312, -1.10902"	"Commercial"	"901 – 1500"	"Intermediate"	"Suburb"	"Cinema"	0.7440330857	"0.50 – 0.75"	940	2	1	363	34	"USA"	1951	
"c2eed004-20cd-11e9-8054-dc241e2d861b"	"Ritz"	"Blaby Road, 53-57"	"United Kingdom"	"#f69899"	"Leicester"	"South Wigston"	"leicester"	"english"	5	"Blaby Road, 53-57"	"6dd8f690-20c7-11e9-8054-dc241e2d861b"		52.57974	-1.13362	"52.57974, -1.13362"	1920	1980	"52.57974, -1.13362"	"Commercial"	"601 – 900"	"Intermediate"	"Suburb"	"Cinema"	0.6965416122	"0.50 – 0.75"	880	2	1	362	19	"USA"	1951	
"c2ef25e0-20cd-11e9-8054-dc241e2d861b"	"Trocadero"	"Uppingham Road"	"United Kingdom"	"#f69899"	"Leicester"	"Leicester"	"leicester"	"english"	5	"Uppingham Road"	"6dd915da-20c7-11e9-8054-dc241e2d861b"		52.64197	-1.08424	"52.64197, -1.08424"	1931	1963	"52.64197, -1.08424"	"Commercial"	"1501+"	"Elite"	"District"	"Cinema"	4.4529905266	"2.00 – 5.00"	5625.84	3	2.64	362	22	"USA"	1952	1
"c2eeca78-20cd-11e9-8054-dc241e2d861b"	"Regal"	"Havelock Street"	"United Kingdom"	"#f69899"	"Leicester"	"Leicester"	"leicester"	"english"	5	"Havelock Street"	"6dd8f406-20c7-11e9-8054-dc241e2d861b"		52.6272	-1.13834	"52.6272, -1.13834"	1936	1959	"52.6272, -1.13834"	"Commercial"	"901 – 1500"	"Intermediate"	"District"	"Cinema"	1.136945877	"1.00 – 2.00"	1436.4	2	1.33	363	12	"USA"	1952	
"c2ef191a-20cd-11e9-8054-dc241e2d861b"	"Sovereign"	"Woodgate, 56"	"United Kingdom"	"#f69899"	"Leicester"	"Leicester"	"leicester"	"english"	5	"Woodgate, 56"	"6dd9101c-20c7-11e9-8054-dc241e2d861b"		52.64372	-1.14649	"52.64372, -1.14649"	1919	1960	"52.64372, -1.14649"	"Commercial"	"601 – 900"	"Intermediate"	"District"	"Cinema"	0.878275651	"0.75 – 1.00"	1109.6	2	1.46	361	26	"USA"	1951	1
"c2f01586-20cd-11e9-8054-dc241e2d861b"	"Het Venster"	"Gouvernestraat 129-133"	"Netherlands"	"#e791ce"	"Rotterdam"	"Rotterdam"	"rotterdam"	"dutch"	7	"Gouvernestraat 129-133"	"6dd9ca84-20c7-11e9-8054-dc241e2d861b"		51.91705	4.469597	"51.917050, 4.469597"	1949	2010	"51.917050, 4.469597"	"Commercial"	"Under 300"	"Minor"	"Centre"	"Cinema"	0.3932294011	"0.20 – 0.50"	496.8	14	2.7	354	10	"France"	1949	
"c2eff128-20cd-11e9-8054-dc241e2d861b"	"Cineac Beurs/AD"	"Coolsingel 60"	"Netherlands"	"#e791ce"	"Rotterdam"	"Rotterdam"	"rotterdam"	"dutch"	7	"Coolsingel 60"	"6dd9b9d6-20c7-11e9-8054-dc241e2d861b"		51.920549	4.480105	"51.920549, 4.480105"	1940	1984	"51.920549, 4.480105"	"Commercial"	"301 – 600"	"Major"	"Centre"	"Cinema"	1.3867510279	"1.00 – 2.00"	1752	9	2.92	354	24	"USA"	1951	1
"c2ef7022-20cd-11e9-8054-dc241e2d861b"	"Palast Theater Buckau"	"Str. d. Deutsch Sowjetischen Freundschaft 94b"	"Germany"	"#fce267"	"Magdeburg"	"Magdeburg"	"magdeburg"	"german"	6	"Str. d. Deutsch Sowjetischen Freundschaft 94b"	"6dd989d4-20c7-11e9-8054-dc241e2d861b"		52.104777	11.642829	"52.104777, 11.642829"	1912	"1959+"	"52.104777, 11.642829"	"State controlled"	"901 – 1500"	"Major"	"District"	"Cinema"	1.8192400471	"1.00 – 2.00"	2298.4	5	2.08	338	51	"Soviet Union"	1951	1
"c2e8d9f6-20cd-11e9-8054-dc241e2d861b"	"Muide"	"Sint-Theresiastraat"	"Belgium"	"#65be4a"	"Gent"	"Muide"	"gent"	"dutch"	3	"Sint-Theresiastraat"	"6dd6b61e-20c7-11e9-8054-dc241e2d861b"		51.076886	3.731776	"51.076886, 3.731776"	1930	1959	"51.076886, 3.731776"	"Commercial"	"Under 300"	"Minor"	"District"	"Cinema"	0.027604419	"Up To 0.10"	139.5	7	0.75	90		"USA"	1949	
